"TORG","GROUP","PRIMARY"
"T8","ISLAMIC ARMY OF ADEN (IAA)",0
"T8","ISLAMIC ARMY OF ADEN-ABYAN (IAAA)",0
"T8","JAYSH ADAN",0
"T8","JAYSH ADAN-ABIYAN AL-ISLAMI",0
"T8","MUHAMMED'S ARMY",0
"T9","AFFICHE ROUGE",1
"T9","GROUPE OLIVIER",0
"T9","RED BILL",0
"T9","RED POSTER",0
"T10","AFRICAN NATIONAL CONGRESS (SOUTH AFRICA)",1
"T10","SOUTH AFRICAN NATIVE NATIONAL CONGRESS",0
"T11","AL-ARIFEEN",1
"T11","AL-AARIFEEN",0
"T11","AL-ARIFEEN SQUAD",0
"T11","THE HOLY MEN",0
"T12","AL-AQSA MARTYRS BRIGADE",1
"T12","AL-AQSA",0
"T12","AL-AQSA MARTYRS BATTALIONS",0
"T12","AL-AQSA MARTYRS' BRIGADE",0
"T12","AL-AQSA MARTYRS BRIGADES",0
"T12","AL-AQSA MARTYRS BRIGADES (AMB)",0
"T12","KATAEB AL-SHAHEED AL-AQSA",0
"T13","AL-BADR",1
"T13","AL-BADAR",0
"T13","AL-BADHR MUJAHIDIN",0
"T13","AL-BAHR",0
"T14","AL BORKAN LIBERATION ORGANIZATION",1
"T14","AL-BORKAN",0
"T14","AL-BORKAN LIBERATION ORGANIZATION",0
"T14","AL-BORKAN ORGANIZATION",0
"T14","THE VOLCANO ORGANIZATION",0
"T15","AL FARAN",1
"T15","AL-FARAN",0
"T16","AL-FARUQ BRIGADES",1
"T16","JIHADIST AL-FARUQ BRIGADES",0
"T16","MEDIA COMMISSION FOR THE MUJAHIDIN IN IRAQ",0
"T17","AL-FATAH",1
"T17","AL-ASIFA",0
"T17","FATAH",0
"T17","FATEH",0
"T17","HARAKAT AL-TAHRIR AL-WATANI AL-FILASTINI",0
"T17","HAREKAT AT-TAHRIR AL-WATANIYYEH AL-FILASTINIYYEH",0
"T17","PALESTINIAN NATIONAL LIBERATION MOVEMENT",0
"T18","AL-FUQRA",1
"T18","AL FUQRA",0
"T18","COMMUNITY OF THE IMPOVERISHED",0
"T18","JAMAAT AL FUQRA",0
"T18","JAMAAT AL-FUQRA",0
"T18","JAMAAT-AL-FUQRA",0
"T18","MUSLIMS OF THE AMERICAS",0
"T18","QURANIC OPEN UNIVERSITY",0
"T19","AL-GAMA'AT AL-ISLAMIYYA (IG)",1
"T19","AL GAMA'A AL ISLAMIYYA",0
"T19","AL GAMA'A AL ISLAMIYYA (GAI)",0
"T19","AL GAMA'A AL-ISLAMIYYA",0
"T19","AL GAMA'A AL-ISLAMIYYA (GAI)",0
"T19","AL GAMA'AT AL ISLAMIYYA (IG)",0
"T19","AL GAMA'AT AL-ISLAMIYYA (IG)",0
"T19","AL GAMAT AL ISLAMIYA",0
"T19","AL GAMAT AL-ISLAMIYA",0
"T19","AL-GAMA'A AL-ISLAMIYYA",0
"T19","AL-GAMA'A AL-ISLAMIYYA (GAI)",0
"T19","AL-GAMAT AL-ISLAMIYA",0
"T19","ISLAMIC GROUP (IG)",0
"T19","JAMAAT AL-ISLAMIYYA",0
"T20","AL HADID",1
"T20","AL-HADID",0
"T21","AL-HARAMAYN BRIGADES",1
"T21","SPECIAL DEATH BRIGADES",0
"T22","AL-INTIQAMI AL-PAKISTANI",1
"T22","REVENGE OF JEHADI",0
"T22","REVENGE OF THE PAKISTANIS",0
"T22","REVENGE OF THE PEOPLE OF PAKISTAN",0
"T23","AL-ITTIHAAD AL-ISLAMI (AIAI)",1
"T23","AIAI",0
"T23","ISLAMIC UNION",0
"T23","ISLAMIC UNITY",0
"T24","AL-MADINA",1
"T24","AL-MADINA REGIMENT",0
"T24","AL-MADINAH",0
"T24","AL-MEDINA",0
"T25","AL-MANSOORIAN",1
"T25","AL MANSURAIN",0
"T25","AL-MANSOORAIN",0
"T26","AL-NASIREEN GROUP",1
"T26","AL NASIREEN",0
"T26","AL NASIREEN GROUP",0
"T26","AL-NASIREEN",0
"T27","AL-NAWAZ",1
"T28","AL-QA'IDA",1
"T28","AL QAEDA",0
"T28","AL QAIDA",0
"T28","AL-QA`IDA",0
"T28","AL-QAEDA",0
"T28","QAIDAT AL-JIHAD",0
"T28","QA'IDAT AL-JIHAD",0
"T28","THE BASE",0
"T29","AL-QA`IDA IN THE ARABIAN PENINSULA (AQAP)",1
"T29","AL-QAEDA IN THE ARABIAN PENINSULA",0
"T29","AL-QAEDA IN THE ARABIAN PENINSULA (AQAP)",0
"T29","AL-QAEDA IN THE ARABIAN PENNINSULA (AQAP)",0
"T29","AL-QAIDA IN THE ARABIAN PENINSULA",0
"T29","AQAP",0
"T30","ALL NEPAL NATIONAL FREE STUDENT UNION-REVOLUTIONARY",1
"T31","AL-QUDS BRIGADES",1
"T31","AL-QASSAM",0
"T31","AL-QUDS BATTALIONS",0
"T31","JERUSALEM BATTALIONS",0
"T31","JERUSALEM BRIGADES",0
"T31","SARAYA AL-QUDS",0
"T31","SAYF AL-ISLAM BRIGADES",0
"T32","AL-SAIQA",1
"T32","AL SAIQA",0
"T33","AL-UMAR MUJAHIDEEN",1
"T33","AL-OMAR MUJAHEDEN",0
"T33","AL-OMAR MUJAHEDIN",0
"T33","AL-UMAR COMMANDO FORCE",0
"T33","AL-UMAR MUJAHIDEEN (HUM)",0
"T33","COMMANDMENT OF THE MUJAHIDEEN",0
"T33","COMMANDMENT OF THE MUJAHIDIN",0
"T34","ALBANIAN NATIONAL ARMY (ANA)",1
"T34","ALBANIAN NATIONAL ARMY",0
"T34","ALBANIAN NATIONAL ARMY - AKSH",0
"T34","ALBANIAN NATIONAL ARMY - ANA",0
"T34","ALBANIAN NATIONAL ARMY (AKSH)",0
"T34","ARMATA KOMBETARE SHQIPTARE",0
"T34","ARMATA KOMBèTARE SHQIPTARE",0
"T34","ARMATA KOMBETARE SHQIPTARE (AKSH)",0
"T34","ARMATA KOMBèTARE SHQIPTARE (AKSH)",0
"T35","AL-ZULFIKAR",1
"T35","AL ZULFIKAR",0
"T36","ALEX BONCAYAO BRIGADE (ABB)",1
"T36","ALEX BONCAYAO BRIGADE",0
"T36","REVOLUTIONARY PROLETARIAN ARMY-ALEX BONCAYAO BRIGADE (RPA-ABB)",0
"T37","ALIANCA LIBERTADORA NACIONAL (ALN)",1
"T37","ACAO LIBERTADORA NACIONAL",0
"T37","A‚ÌO LIBERTADORA NACIONAL",0
"T37","ALIANCA LIBERTADORA NACIONAL",0
"T37","NATIONAL LIBERATION ACTION",0
"T37","NATIONAL LIBERATION ALLIANCE",0
"T38","ALL TRIPURA TIGER FORCE (ATTF)",1
"T38","ALL TRIPURA TIGER FORCE",0
"T38","ALL TRIPURA TRIBAL FORCE",0
"T38","ATTF",0
"T39","AMAL",1
"T39","AFWAJ AL MUQAWAMA AL LUBNANIYA (AMAL)",0
"T39","AFWåJ AL-MUQåWMAT AL-LUBNåNIYYA",0
"T39","AFWåJ AL-MUQåWMAT AL-LUBNåNIYYA (AMAL)",0
"T39","LEBANESE RESISTANCE DETACHMENTS",0
"T39","MOVEMENT OF HOPE",0
"T40","AMERICAN FRONT",1
"T41","ANANDA MARGA",1
"T41","THE ANANDA MARGA YOGA SOCIETY",0
"T41","THE UNIVERSAL ARMY",0
"T42","ANARCHIST FACTION",1
"T43","ANARCHIST LIBERATION BRIGADE",1
"T44","ANARCHIST STREET PATROL",1
"T45","ANARCHIST STRUGGLE",1
"T46","ANARCHISTS ATTACK TEAM",1
"T46","ANARCHICAL ATTACK GROUPS",0
"T46","ANARCHIST ATTACK TEAMS",0
"T46","ANARCHISTS ATTACK GROUP",0
"T46","ANARCHISTS' ATTACK GROUP",0
"T46","ANARCHISTS' ATTACK GROUP (AAG)",0
"T46","ANARCHISTS' ATTACK GROUPS",0
"T47","ANARCHISTS, THE (SPAIN)",1
"T47","LOS ANARQUISTAS",0
"T48","ANDRES CASTRO UNITED FRONT",1
"T48","ANDRES CASTRO UNITED FRONT (FUAC)",0
"T48","FRENTE UNIDO ANDRES CASTRO",0
"T48","FRENTE UNIDO ANDRES CASTRO (FUAC)",0
"T49","ANGRY BRIGADE (ITALY)",1
"T49","BRIGATA ARRABBIATA",0
"T49","MARTYRS OF DEMOCRACY",0
"T50","ANIMAL LIBERATION FRONT (ALF)",1
"T50","ANIMAL LIBERATION",0
"T51","ANSAR AL-ISLAM",1
"T51","ANSAR AL ISLAM",0
"T51","ANSAR UL ISLAM",0
"T51","ANSAR UL-ISLAM",0
"T51","SUPPORTERS OF ISLAM",0
"T52","ANSAR AL-JIHAD",1
"T52","SUPPORTERS OF JIHAD",0
"T53","ANSAR AL-SUNNA",1
"T53","ANSAR AL-SUNNA (AS) SHARIAH",0
"T53","ANSAR AL-SUNNAH",0
"T53","ANSAR AL-SUNNAH ARMY",0
"T53","ARMY OF ANSAR AL-SUNNAH",0
"T53","SHARI'AH COUNCIL OF THE ANSAR AL-SUNNAH GROUP",0
"T54","ANSAR ALLAH",1
"T54","ANSAR ALLAH BATTALIONS",0
"T55","ANTI-ARMENIAN ORGANIZATION",1
"T56","EROTIC ANTI-AUTHORITY CELLS",1
"T56","ANTI-AUTHORITY EROTIC CELLS",0
"T57","ANTI-ESTABLISHMENT NUCLEUS",1
"T58","ANTI-IMPERIALIST TERRITORIAL NUCLEI (NTA)",1
"T58","ANTI-IMPERIALIST TERRITORIAL NUCLEI - COMBATANT COMMUNIST PARTY",0
"T58","ANTI-IMPERIALIST TERRITORIAL NUCLEI FOR THE CONSTRUCTION OF THE FIGHTING",0
"T58","ANTI-IMPERIALIST TERRITORIAL NUCLEI FOR THE CONSTRUCTION OF THE FIGHTING COMMUNIST PARTY",0
"T58","ANTI-IMPERIALIST TERRITORIAL UNITS",0
"T58","CONSTRUCTION OF THE FIGHTING COMMUNIST PARTY (NTA-PCC)",0
"T58","FIGHTING COMMUNIST PARTY (NTA)",0
"T58","NTA-PCC",0
"T58","NUCLEI TERRITORIALI ANTIMPERIALISTI (NTA)",0
"T58","TERRITORIAL ANTI-IMPERIALIST NUCLEI",0
"T59","ANTI-MAINSTREAM SELF DETERMINATION FACTION",1
"T59","FRAXIA APOYENIKEVMENI AVTODHIATHESI",0
"T60","ANTI-EXOUSIATIKI PALI",1
"T60","ANTI-POWER STRUGGLE",0
"T61","ANTI-RACIST GUERRILLA NUCLEI",1
"T61","ANTI-RACIST GUERRILLA UNITS",0
"T61","NUCLEI DI GUERRIGLIA ANTITAZZISTA",0
"T62","ANTI-STATE ACTION",1
"T63","ANTI-STATE PROLETARIAN NUCLEI",1
"T63","ANTI-STATE NUCLEI",0
"T64","GRUPO ANTITERRORISTA DE LIBERACION (GAL)",1
"T64","ANTI-TERRORIST LIBERATION GROUP",0
"T64","ANTI-TERRORIST LIBERATION GROUP (GAL)",0
"T64","GRUPO ANTITERRORISTA DE LIBERACION",0
"T65","ANTI-ZIONIST MOVEMENT",1
"T66","ANTI-CAPITALIST ATTACK NUCLEI (NAA)",1
"T66","ANTICAPITALIST ATTACK NUCLEI",0
"T66","ANTICAPITALIST ATTACK NUCLEI (NAA)",0
"T66","ANTICAPITALIST ATTACK NUCLEUS",0
"T66","NUCLEI ATTACCO ANTICAPITALISTA (NAA)",0
"T67","APO'S REVENGE HAWKS",1
"T67","APONUN INTIKAM SAHINLER",0
"T67","APO'NUN INTIKAM SAHINLER",0
"T67","APOS REVENGE HAWKS",0
"T67","REVENGE HAWKS OF APO",0
"T68","APO'S YOUTH REVENGE BRIGADES",1
"T68","APOCU GENCLIK INTIKAM MUFREZELERI",0
"T68","APOS YOUTH REVENGE BRIGADE",0
"T68","APO'S YOUTH REVENGE BRIGADE",0
"T68","APOS YOUTH REVENGE BRIGADES",0
"T69","M-19 (MOVEMENT OF APRIL 19)",1
"T69","19 APRIL MOVEMENT",0
"T69","APRIL 19 MOVEMENT",0
"T69","APRIL 19 MOVEMENT (M-19)",0
"T69","M-19",0
"T69","MOVIMIENTO 19 DE ABRIL",0
"T69","MOVIMIENTO 19 DE ABRIL (M-19)",0
"T70","ARAB COMMUNIST ORGANIZATION (ACO)",1
"T70","ARAB COMMUNIST ORGANIZATION",0
"T71","ARAB COMMUNIST REVOLUTIONARY PARTY",1
"T72","ARAB FEDAYEEN CELLS",1
"T73","ARAB LIBERATION FRONT (ALF)",1
"T73","JABHAT AL-TAHRIR AL-'ARABIYYA",0
"T74","ARAB NATIONALIST YOUTH FOR THE LIBERATION OF PALESTINE (ANYLP)",1
"T74","ARAB NATIONAL YOUTH ORGANIZATION (ANYO)",0
"T74","ARAB NATIONALIST YOUTH ORGANIZATION FOR THE LIBERATION OF PALESTINE (ANYOLP)",0
"T74","NATIONAL ORGANIZATION OF ARAB YOUTH",0
"T74","SEVENTH SUICIDE SQUAD",0
"T75","AL-QANOON",1
"T75","AL QANOON",0
"T76","ARIZONA PATRIOTS (AP)",1
"T77","ARMATA CORSA",1
"T77","CORSICAN ARMY",0
"T78","ARMATA DI LIBERAZIONE NAZIUNALE (ALN)",1
"T78","ARMATA DI LIBERAZIONE NAZIUNALE",0
"T78","ARMY OF NATIONAL LIBERATION",0
"T79","FUERZAS ARMADAS DE LIBERACION NACIONAL (FALN)",1
"T79","ARMED FORCES OF NATIONAL LIBERATION (FALN)",0
"T79","FUERZAS ARMADAS DE LIBERACION NACIONAL PUERTORIQUENA",0
"T80","ARMED FORCES OF NATIONAL RESISTANCE",1
"T80","ARMED FORCES OF NATIONAL RESISTANCE (FARN)",0
"T80","FUERZAS ARMADAS DE RESISTENCIA NACIONAL (FARN)",0
"T80","NATIONAL RESISTANCE",0
"T80","RESISTENCIA NACIONAL (RN)",0
"T81","ARMED FORCES REVOLUTIONARY COUNCIL (AFRC)",1
"T81","AFRC",0
"T81","ARMED FORCES REVOLUTIONARY COUNCIL",0
"T82","ARMED ISLAMIC GROUP (GIA)",1
"T82","AL-JAMA'AH AL-ISLAMIYAH AL-MUSALLAH",0
"T82","ARMED ISLAMIC GROUP",0
"T82","GIA [ARMED ISLAMIC GROUP]",0
"T82","GROUPES ISLAMIQUES ARMES (GIA)",0
"T83","ARMED REVOLUTIONARY LEFT",1
"T83","ARMED REVOLUTIONARY LEFT (IRA)",0
"T83","IZQUIERDA REVOLUCIONARIA ARMADA (IRA)",0
"T84","ARMENIAN RESISTANCE GROUP",1
"T85","ARMENIAN REVOLUTIONARY ARMY",1
"T85","ARMENIAN REVOLUTIONARY ARMY (ARA)",0
"T86","ARMENIAN REVOLUTIONARY FEDERATION (ARF)",1
"T87","ARMENIAN SECRET ARMY FOR THE LIBERATION OF ARMENIA",1
"T87","ARMENIAN LIBERATION ARMY",0
"T87","ARMENIAN SECRET ARMY FOR THE LIBERATION OF ARMENIA (ASALA)",0
"T87","HAYASTANI AZATAGRUTYAN HAY GAGHTNI BANAK",0
"T87","HAYASTANI AZATAGRUT'YAN HAY GAGHTNI BANAK",0
"T88","DEMOCRATIC FRONT FOR THE LIBERATION OF RWANDA (FDLR)",1
"T88","ARMED PEOPLE FOR THE LIBERATION OF RWANDA",0
"T88","ARMIE POUR LA LIBIRATION DU RWANDA (ALIR)",0
"T88","ARMY FOR THE LIBERATION OF RWANDA",0
"T88","ARMY FOR THE LIBERATION OF RWANDA (ALIR)",0
"T88","DEMOCRATIC LIBERATION FORCES OF RWANDA",0
"T88","EX-FAR",0
"T88","EX-FAR (ARMED FORCES OF RWANDA)",0
"T88","FDLR",0
"T88","FORCES DEMOCRATIQUES DE LIBERATION DU RWANDA",0
"T88","FORCES DƒMOCRATIQUES DE LIBƒRATION DU RWANDA",0
"T88","INTERAHAMWE",0
"T88","PALIR",0
"T88","PEUPLE EN ARMES POUR LA LIBERATION DU RWANDA",0
"T89","ARMY OF GOD",1
"T90","ARMY OF THE CORSICAN PEOPLE",1
"T91","ARMY OF THE FOLLOWERS OF SUNNI ISLAM",1
"T91","JAISH ANSAR AL SUNNAH",0
"T91","JAISH ANSAR AL-SUNNAH",0
"T92","ARAB SOCIALIST BAATH PARTY",1
"T92","ARAB SOCIALIST BAATH PARTY (LEBANON)",0
"T92","ARAB SOCIALIST BA'ATH PARTY (LEBANON)",0
"T92","HIZB AL BAATH AL ARABI AL ISHTIRAKI",0
"T92","HIZB AL-BAÔATH AL-ÔARABI AL-ISHTIRAKI",0
"T92","HIZB AL-BA'ATH AL-'ARAB? AL-ISHTIR?K?",0
"T92","HIZB AL-BAATH AL-ARABI AL-ISHTIRAKI",0
"T92","HIZB AL-BA'ATH AL-'ARABI AL-ISHTIRAKI",0
"T93","ARYAN NATION",1
"T93","ARYAN NATION (AN)",0
"T93","ARYAN NATIONS",0
"T93","ARYAN NATIONS (AN)",0
"T94","ARYAN RESISTANCE ARMY (ARA)",1
"T94","ARYAN REPUBLICAN ARMY",0
"T94","ARYAN REPUBLICAN ARMY (ARA)",0
"T95","AUM SHINRI KYO",1
"T95","ALEPH",0
"T95","AUM SHINRIKYO",0
"T95","AUM SHINRIKYO (AUM)",0
"T95","AUM SHINSEN NO KAI",0
"T95","AUM SUPREME TRUTH",0
"T96","AUTONOMIA SINISTRA ANTE PARLAMENTARE",1
"T96","LEFT AUTONOMY BEFORE PARLIAMENTARIAN",0
"T97","AUTONOMOUS CELLS OF REBEL ACTION",1
"T98","AUTONOMOUS DECORATORS",1
"T99","BAADER-MEINHOF GROUP",1
"T99","BAADER-MEINHOF BANDE",0
"T99","BAADER-MEINHOF GANG",0
"T99","RED ARMY FACTION",0
"T100","BAGRAMYAN BATTALION",1
"T101","BALOCH LIBERATION ARMY (BLA)",1
"T101","BALUCHISTAN LIBERATION ARMY",0
"T102","BASQUE FATHERLAND AND FREEDOM (ETA)",1
"T102","BASQUE FATHERLAND AND LIBERTY",0
"T102","BASQUE HOMELAND AND FREEDOM",0
"T102","ETA",0
"T102","EUSKADI TA ASKATASUNA",0
"T103","BERSATU",1
"T103","BER SATU",0
"T103","PAYONG ORGANIZATION",0
"T103","UNITED FRONT FOR THE INDEPENDENCE OF PATTANI",0
"T104","BLACK DECEMBER",1
"T105","BLACK HAND",1
"T106","BLACK PANTHERS",1
"T106","BLACK PANTHER PARTY FOR SELF-DEFENSE",0
"T107","BLACK REVOLUTIONARY ASSAULT TEAM",1
"T108","BLACK SEPTEMBER",1
"T108","BLACK SEPTEMBER ORGANIZATION (BSO)",0
"T108","MUNAZZAMAT AYLUL AL-ASWAD",0
"T109","BLACK STAR",1
"T109","MAVRO ASTERI",0
"T110","BLACK WIDOWS",1
"T111","BOROK NATIONAL COUNCIL OF TRIPURA (BNCT)",1
"T112","BRETON LIBERATION FRONT (FLB)",1
"T112","ARMEE REVOLUTIONNAIRE BRETONNE (ARB)",0
"T112","BRETON LIBERATION ARMY",0
"T112","BRETON LIBERATION FRONT",0
"T112","BRETON REVOLUTIONARY ARMY (ARB)",0
"T112","EMGANN",0
"T113","BURNING PATH",1
"T113","FLEGOMENO MONOPATI",0
"T114","CAMBODIAN FREEDOM FIGHTERS (CFF)",1
"T114","CHOLANA KANTOAP SEREI CHEAT KAMPOUCHEA",0
"T115","CARAPAICA REVOLUTIONARY MOVEMENT",1
"T115","CARAPAICA REVOLUTIONARY GROUP",0
"T115","MOVIMIENTO REVOLUCIONARIO CARAPAICA",0
"T116","CATHOLIC REACTION FORCE",1
"T116","CATHOLIC REACTION FORCE (CRF)",0
"T117","CELL FOR INTERNATIONALISM",1
"T118","CHADIAN PEOPLE'S REVOLUTIONARY MOVEMENT",1
"T118","MOUVEMENT REVOLUTIONNAIRE DU PEUPLE TCHADIEN",0
"T118","MOUVEMENT REVOLUTIONNAIRE DU PEUPLE TCHADIEN (MPR)",0
"T119","CHAOTIC ATTACK FRONT",1
"T119","HAOTIKO METOPO EPITHESIS",0
"T120","CHARLES MARTEL GROUP",1
"T120","CHARLES MARTEL CLUB",0
"T121","CHE GUEVARA BRIGADE",1
"T121","CHE GUEVARA INTERNATIONAL BRIGADE",0
"T121","LA BRIGADA CHE GUEVARA",0
"T122","CHILDREN OF FIRE",1
"T123","CHUKAKUHA (MIDDLE CORE FACTION)",1
"T123","CHUKAKUHA",0
"T123","CHUKAKU-HA",0
"T123","CHUKAKU-HA-KEI ZENGAKUREN (ALL-JAPAN FEDERATION OF STUDENTSÕ SELF-GOVERNMENT ASSOCIATIONS)",0
"T123","JAPAN REVOLUTIONARY COMMUNIST LEAGUE, NATIONAL COMMITTEE (MIDDLE CORE FACTION)",0
"T123","KAKUMEITEKI KYOSANSHUGISHA DOMEI, ZENKOKU IINKAI",0
"T123","KAKUMEITEKI KY_SANSHUGISHA D_MEI, ZENKOKU IINKAI",0
"T123","KYUKOU REIDAN AND CHUKAKU-HA",0
"T123","MIDDLE CORE FACTION",0
"T123","NUCLEUS FACTION",0
"T124","CINCHONEROS POPULAR LIBERATION MOVEMENT",1
"T124","CINCHONERO MOVIMIENTO POPULAR DE LIBERACI¢N (MPL)",0
"T124","CINCHONERO PEOPLE'S LIBERATION MOVEMENT",0
"T125","CLANDESTINI",1
"T125","CLANDESTINU",0
"T126","CLANDESTINI CORSI",1
"T126","CLANDESTINE CORSICANS",0
"T127","COALITION TO SAVE THE PRESERVES (CSP)",1
"T128","COMBATANT PROLETARIAN NUCLEUS",1
"T128","COMBATANT FIGHTING NUCLEUS",0
"T128","NUCLEO PROLETARIO COMBATTENTE",0
"T129","COMITE ARGENTINO DE LUCHA ANTI-IMPERIALISTO",1
"T129","ARGENTINE COMMITTEE OF THE STRUGGLE AGAINST IMPERIALISM",0
"T130","COMMITTEE FOR LIQUIDATION OF COMPUTERS (CLODO)",1
"T130","COMITE LIQUIDANT OU DETOURNANT LES ORDINATEURS",0
"T131","COMMITTEE FOR THE SECURITY OF THE HIGHWAYS",1
"T131","COMMITTEE FOR THE DEFENSE OF THE ROADS",0
"T131","COMMITTEE FOR THE SECURITY OF THE ROADS",0
"T132","COMMITTEE OF COORDINATION",1
"T133","COMMITTEE OF SOLIDARITY WITH ARAB AND MIDDLE EAST POLITICAL PRISONERS (CSPPA)",1
"T133","COMITâ DE SOUTIEN AVEC LES PRISONNIERS POLITIQUES ET ARABES ET DU MOYEN-ORIENT",0
"T134","COMMUNIST COMBATANT CELLS (CCC)",1
"T134","CELLULES COMMUNISTES COMBATTANTES (CCC)",0
"T134","COLLECTIF DES PRISONNIERS DES CELLULES COMMUNISTES COMBATTANTES",0
"T134","FIGHTING COMMUNIST CELLS",0
"T135","COMMUNIST PARTY OF NEPAL- MAOIST (CPN-M)",1
"T135","COMMUNIST PARTY OF NEPAL (MAOIST)",0
"T135","COMMUNIST PARTY OF NEPAL- MAOIST (CPN/M)",0
"T135","COMMUNIST PARTY OF NEPAL MAOIST (CPN-M)",0
"T135","COMMUNIST PARTY OF NEPAL MAOISTS (CPN-M)",0
"T135","COMMUNIST PARTY OF NEPAL-MAOIST",0
"T135","COMMUNIST PARTY OF NEPAL-MAOIST (CPN/M)",0
"T135","COMMUNIST PARTY OF NEPAL-MAOIST (CPN-M)",0
"T135","COMMUNIST PARTY OF NEPAL-MAOISTS",0
"T135","COMMUNIST PARTY OF NEPAL-MAOISTS (CPN/M)",0
"T135","COMMUNIST PARTY OF NEPAL-MAOISTS (CPN-M)",0
"T135","COMMUNIST PARY OF NEPAL MAOISTS (CPN-M)",0
"T135","CPN/M",0
"T135","CPN-M",0
"T135","NEPAL COMMUNIST PARTY (MAOIST)",0
"T135","NEPALI COMMUNIST PARTY (MAOIST)",0
"T136","COMMUNIST REVOLUTIONARIES IN EUROPE",1
"T137","COMMUNIST WORKERS MOVEMENT",1
"T137","KOMUNIST ISCI HAREKETI",0
"T137","KOM†NIST IS‚I HAREKETI",0
"T138","COMMUNISTS LIBERATION FACTION",1
"T139","CONSCIENTIOUS ARSONISTS (CA)",1
"T139","ARSONISTS OF CONSCIENCE",0
"T140","CONTINUITY IRISH REPUBLICAN ARMY (CIRA)",1
"T140","CONTINUITY ARMY COUNCIL",0
"T140","CONTINUITY IRA",0
"T140","IRISH CONTINUITY ARMY COUNCIL (ICAC)",0
"T141","CONTRAS",1
"T141","CONTRARREVOLUCIONARIOS",0
"T141","COUNTER REVOLUTIONARIES",0
"T142","COOP OF HAND-MADE FIRE & RELATED ITEMS",1
"T142","COOP OF HAND-MADE FIRE AND RELATED ITEMS",0
"T142","COOPERATIVA ARTIGIANA FUOCO E AFFINI",0
"T142","COOPERATIVE OF HAND-MADE FIRE & RELATED ITEMS",0
"T142","COOPERATIVE OF HAND-MADE FIRE AND RELATED ITEMS",0
"T143","COVENANT SWORD AND ARM OF THE LORD (CSA)",1
"T143","COVENANT SWORD AND ARM OF THE LORD",0
"T143","THE COVENANT, THE SWORD, AND THE ARM OF THE LORD",0
"T144","CROATIAN FREEDOM FIGHTERS (CFF)",1
"T144","CROATIAN FREEDOM FIGHTERS",0
"T145","DAGESTAN LIBERATION ARMY",1
"T146","DARIO SANTILLAN COMMAND",1
"T147","DECEMBER 20 MOVEMENT (M-20)",1
"T147","20 DECEMBER MOVEMENT (M-20)",0
"T147","20 DECEMBER NATIONAL LIBERATION MOVEMENT",0
"T147","DECEMBER 20 MOVEMENT",0
"T147","M-20",0
"T147","MOVIMIENTO DE DICIEMBRE 20",0
"T147","MOVIMIENTO DE DICIEMBRE 20 (M-20)",0
"T148","DEMOCRATIC FRONT FOR THE LIBERATION OF PALESTINE (DFLP)",1
"T148","AL-JABHA AL-DIMUQRATIYYA LI-TAHRIR FILASTIN",0
"T148","DEMOCRATIC FRONT FOR THE LIBERATION OF PALESTINE",0
"T148","POPULAR DEMOCRATIC FRONT FOR THE LIBERATION OF PALESTINE",0
"T148","POPULAR DEMOCRATIC FRONT FOR THE LIBERATION OF PALESTINE (PDFLP)",0
"T149","IMPERIAL IRANIAN PATRIOTIC ORGANIZATION",1
"T150","DEMOCRATIC KAREN BUDDHIST ARMY (DKBA)",1
