TORG,GROUP,PRIMARY,TOPS,GTD,UCDP-GTD.dif,UCDP,MAROB.ORGID,MAROB.GRP-NUM,MAR.GRP,YRFIRST,YRLAST,TOPS.YR1,GTD.YR1,UCDP.YR1,GTD.YRLST,UCDP.YRLST,HBASE,TOPS-ISO,GTD-ISO,UCDP-ISO,MAROB-ISO,RGN.CODE,HBASE.CC
T3,FATAH REVOLUTIONARY COUNCIL (FRC/ANO),0,TP1,G5,0,U1687,M6600301,M66003,PALESTINIANS,1974,1998,1974,1976,1990,1998,1990,LBN,"IRQ, LBY, SYR","LBN, FRA, PAK, JOR, ITA, ISR, GRC, AUT, SYR, ESP, GBR, PRT, ARE, NLD, PSE, DZA, EGY, IRQ",LBN,LBN,MIDDLE EAST & NORTH AFRICA,660
T3,FRC/ANO,0,TP1,G5,0,U1687,M6600301,M66003,PALESTINIANS,1974,1998,1974,1976,1990,1998,1990,LBN,"IRQ, LBY, SYR","LBN, FRA, PAK, JOR, ITA, ISR, GRC, AUT, SYR, ESP, GBR, PRT, ARE, NLD, PSE, DZA, EGY, IRQ",LBN,LBN,MIDDLE EAST & NORTH AFRICA,660
T3,REVOLUTIONARY ORGANIZATION OF SOCIALIST MUSLIMS,0,TP1,G5,0,U1687,M6600301,M66003,PALESTINIANS,1974,1998,1974,1976,1990,1998,1990,LBN,"IRQ, LBY, SYR","LBN, FRA, PAK, JOR, ITA, ISR, GRC, AUT, SYR, ESP, GBR, PRT, ARE, NLD, PSE, DZA, EGY, IRQ",LBN,LBN,MIDDLE EAST & NORTH AFRICA,660
T4,ABU SAYYAF GROUP (ASG),1,TP204,G6,0,U1119,0,0,,1991,2012,1991,1994,1993,2012,2012,PHL,PHL,"PHL, MYS",PHL,,SOUTHEAST ASIA,840
T4,ABU SAYYAF GROUP,0,TP204,G6,0,U1119,0,0,,1991,2012,1991,1994,1993,2012,2012,PHL,PHL,"PHL, MYS",PHL,,SOUTHEAST ASIA,840
T4,AL-HARAKAT AL-ISLAMIYAH,0,TP204,G6,0,U1119,0,0,,1991,2012,1991,1994,1993,2012,2012,PHL,PHL,"PHL, MYS",PHL,,SOUTHEAST ASIA,840
T4,BEARER OF THE SWORD,0,TP204,G6,0,U1119,0,0,,1991,2012,1991,1994,1993,2012,2012,PHL,PHL,"PHL, MYS",PHL,,SOUTHEAST ASIA,840
T5,RESISTENZA CORSA,1,TP2,G2586,0,0,0,0,,2002,2003,,2003,,2003,,FRA,FRA,FRA,,,WESTERN EUROPE,220
T5,ACCOLTA NAZINUALE CORSA,0,TP2,G2586,0,0,0,0,,2002,2003,,2003,,2003,,FRA,FRA,FRA,,,WESTERN EUROPE,220
T6,COMITE D'ACTION VITICOLE,1,TP3,G2366,0,0,0,0,,1999,1999,,1999,,1999,,FRA,FRA,FRA,,,WESTERN EUROPE,220
T6,ACTION COMMITTEE OF WINEGROWERS,0,TP3,G2366,0,0,0,0,,1999,1999,,1999,,1999,,FRA,FRA,FRA,,,WESTERN EUROPE,220
T6,COMITE D'ACTION VITICOLE (CAV),0,TP3,G2366,0,0,0,0,,1999,1999,,1999,,1999,,FRA,FRA,FRA,,,WESTERN EUROPE,220
T6,WINEGROWERS ACTION COMMITTEE,0,TP3,G2366,0,0,0,0,,1999,1999,,1999,,1999,,FRA,FRA,FRA,,,WESTERN EUROPE,220
T7,ACTION DIRECTE,1,TP3498,G50,0,0,0,0,,1980,1989,,1980,,1989,,FRA,FRA,"FRA, CAN, PRT",,,WESTERN EUROPE,220
T8,ADAN ABYAN ISLAMIC ARMY (AAIA),1,TP4,G2258,0,0,0,0,,1994,2003,1994,1999,,2003,,YEM,YEM,YEM,,,MIDDLE EAST & NORTH AFRICA,679
T8,ADEN ABYAN ISLAMIC ARMY,0,TP4,G2258,0,0,0,0,,1994,2003,1994,1999,,2003,,YEM,YEM,YEM,,,MIDDLE EAST & NORTH AFRICA,679
T8,ADEN ABYAN ISLAMIC ARMY (AAIA),0,TP4,G2258,0,0,0,0,,1994,2003,1994,1999,,2003,,YEM,YEM,YEM,,,MIDDLE EAST & NORTH AFRICA,679
T8,ADEN ISLAMIC ARMY,0,TP4,G2258,0,0,0,0,,1994,2003,1994,1999,,2003,,YEM,YEM,YEM,,,MIDDLE EAST & NORTH AFRICA,679
T8,ARMY OF MOHAMMED AND THE JAISH ADAN AL ISLAMI,0,TP4,G2258,0,0,0,0,,1994,2003,1994,1999,,2003,,YEM,YEM,YEM,,,MIDDLE EAST & NORTH AFRICA,679
T8,ISLAMIC ADEN ARMY,0,TP4,G2258,0,0,0,0,,1994,2003,1994,1999,,2003,,YEM,YEM,YEM,,,MIDDLE EAST & NORTH AFRICA,679
T8,ISLAMIC ARMY OF ADEN (IAA),0,TP4,G2258,0,0,0,0,,1994,2003,1994,1999,,2003,,YEM,YEM,YEM,,,MIDDLE EAST & NORTH AFRICA,679
T8,ISLAMIC ARMY OF ADEN-ABYAN (IAAA),0,TP4,G2258,0,0,0,0,,1994,2003,1994,1999,,2003,,YEM,YEM,YEM,,,MIDDLE EAST & NORTH AFRICA,679
T8,JAYSH ADAN,0,TP4,G2258,0,0,0,0,,1994,2003,1994,1999,,2003,,YEM,YEM,YEM,,,MIDDLE EAST & NORTH AFRICA,679
T8,JAYSH ADAN-ABIYAN AL-ISLAMI,0,TP4,G2258,0,0,0,0,,1994,2003,1994,1999,,2003,,YEM,YEM,YEM,,,MIDDLE EAST & NORTH AFRICA,679
T8,MUHAMMED'S ARMY,0,TP4,G2258,0,0,0,0,,1994,2003,1994,1999,,2003,,YEM,YEM,YEM,,,MIDDLE EAST & NORTH AFRICA,679
T9,AFFICHE ROUGE,1,TP3907,0,0,0,0,0,,1981,0,1981,,,,,FRA,FRA,,,,WESTERN EUROPE,220
T9,GROUPE OLIVIER,0,TP3907,0,0,0,0,0,,1981,0,1981,,,,,FRA,FRA,,,,WESTERN EUROPE,220
T9,RED BILL,0,TP3907,0,0,0,0,0,,1981,0,1981,,,,,FRA,FRA,,,,WESTERN EUROPE,220
T9,RED POSTER,0,TP3907,0,0,0,0,0,,1981,0,1981,,,,,FRA,FRA,,,,WESTERN EUROPE,220
T10,AFRICAN NATIONAL CONGRESS (SOUTH AFRICA),1,TP305,G9,0,0,0,0,,1976,1996,MULTIPLE,1976,,1996,,ZAF,ZAF,"ZAF, MOZ, SWZ, FRA, NAM, ZMB",,,SUB-SAHARAN AFRICA,560
T10,SOUTH AFRICAN NATIVE NATIONAL CONGRESS,0,TP305,G9,0,0,0,0,,1976,1996,MULTIPLE,1976,,1996,,ZAF,ZAF,"ZAF, MOZ, SWZ, FRA, NAM, ZMB",,,SUB-SAHARAN AFRICA,560
T11,AL-ARIFEEN,1,TP3554,G2266,0,0,0,0,,2002,2005,,2002,,2005,,PAK,PAK,IND,,,SOUTH ASIA,770
T11,AL-AARIFEEN,0,TP3554,G2266,0,0,0,0,,2002,2005,,2002,,2005,,PAK,PAK,IND,,,SOUTH ASIA,770
T11,AL-ARIFEEN SQUAD,0,TP3554,G2266,0,0,0,0,,2002,2005,,2002,,2005,,PAK,PAK,IND,,,SOUTH ASIA,770
T11,THE HOLY MEN,0,TP3554,G2266,0,0,0,0,,2002,2005,,2002,,2005,,PAK,PAK,IND,,,SOUTH ASIA,770
T12,AL-AQSA MARTYRS BRIGADE,1,TP3855,G2265,0,U1053,0,0,,2000,2011,2000,2000,2002,2010,2004,PSE,ISR,"PSE, ISR",ISR,,MIDDLE EAST & NORTH AFRICA,666
T12,AL-AQSA,0,TP3855,G2265,0,U1053,0,0,,2000,2011,2000,2000,2002,2010,2004,PSE,ISR,"PSE, ISR",ISR,,MIDDLE EAST & NORTH AFRICA,666
T12,AL-AQSA MARTYRS BATTALIONS,0,TP3855,G2265,0,U1053,0,0,,2000,2011,2000,2000,2002,2010,2004,PSE,ISR,"PSE, ISR",ISR,,MIDDLE EAST & NORTH AFRICA,666
T12,AL-AQSA MARTYRS' BRIGADE,0,TP3855,G2265,0,U1053,0,0,,2000,2011,2000,2000,2002,2010,2004,PSE,ISR,"PSE, ISR",ISR,,MIDDLE EAST & NORTH AFRICA,666
T12,AL-AQSA MARTYRS BRIGADES,0,TP3855,G2265,0,U1053,0,0,,2000,2011,2000,2000,2002,2010,2004,PSE,ISR,"PSE, ISR",ISR,,MIDDLE EAST & NORTH AFRICA,666
T12,AL-AQSA MARTYRS BRIGADES (AMB),0,TP3855,G2265,0,U1053,0,0,,2000,2011,2000,2000,2002,2010,2004,PSE,ISR,"PSE, ISR",ISR,,MIDDLE EAST & NORTH AFRICA,666
T12,KATAEB AL-SHAHEED AL-AQSA,0,TP3855,G2265,0,U1053,0,0,,2000,2011,2000,2000,2002,2010,2004,PSE,ISR,"PSE, ISR",ISR,,MIDDLE EAST & NORTH AFRICA,666
T13,AL-BADR,1,TP3555,G2267,0,0,0,0,,1998,2008,MULTIPLE,2002,,2008,,IND,PAK,IND,,,SOUTH ASIA,750
T13,AL-BADAR,0,TP3555,G2267,0,0,0,0,,1998,2008,MULTIPLE,2002,,2008,,IND,PAK,IND,,,SOUTH ASIA,750
T13,AL-BADHR MUJAHIDIN,0,TP3555,G2267,0,0,0,0,,1998,2008,MULTIPLE,2002,,2008,,IND,PAK,IND,,,SOUTH ASIA,750
T13,AL-BAHR,0,TP3555,G2267,0,0,0,0,,1998,2008,MULTIPLE,2002,,2008,,IND,PAK,IND,,,SOUTH ASIA,750
T14,AL BORKAN LIBERATION ORGANIZATION,1,TP3909,G1256,0,0,0,0,,1984,1984,1984,1984,,1984,,ITA,ITA,"ITA, ESP",,,WESTERN EUROPE,325
T14,AL-BORKAN,0,TP3909,G1256,0,0,0,0,,1984,1984,1984,1984,,1984,,ITA,ITA,"ITA, ESP",,,WESTERN EUROPE,325
T14,AL-BORKAN LIBERATION ORGANIZATION,0,TP3909,G1256,0,0,0,0,,1984,1984,1984,1984,,1984,,ITA,ITA,"ITA, ESP",,,WESTERN EUROPE,325
T14,AL-BORKAN ORGANIZATION,0,TP3909,G1256,0,0,0,0,,1984,1984,1984,1984,,1984,,ITA,ITA,"ITA, ESP",,,WESTERN EUROPE,325
T14,THE VOLCANO ORGANIZATION,0,TP3909,G1256,0,0,0,0,,1984,1984,1984,1984,,1984,,ITA,ITA,"ITA, ESP",,,WESTERN EUROPE,325
T15,AL FARAN,1,TP3910,G614,0,0,0,0,,1995,1995,1995,1995,,1995,,IND,"IND, PAK",IND,,,SOUTH ASIA,750
T15,AL-FARAN,0,TP3910,G614,0,0,0,0,,1995,1995,1995,1995,,1995,,IND,"IND, PAK",IND,,,SOUTH ASIA,750
T16,AL-FARUQ BRIGADES,1,TP4325,0,0,0,0,0,,2003,0,2003,,,,,IRQ,IRQ,,,,MIDDLE EAST & NORTH AFRICA,645
T16,JIHADIST AL-FARUQ BRIGADES,0,TP4325,0,0,0,0,0,,2003,0,2003,,,,,IRQ,IRQ,,,,MIDDLE EAST & NORTH AFRICA,645
T16,MEDIA COMMISSION FOR THE MUJAHIDIN IN IRAQ,0,TP4325,0,0,0,0,0,,2003,0,2003,,,,,IRQ,IRQ,,,,MIDDLE EAST & NORTH AFRICA,645
T17,AL-FATAH,1,TP128,G12,0,U1049,0,0,,1959,2009,1950S,1971,1990,2009,2007,PSE,ISR,"ISR, PSE, LBN, JOR, BEL, IND, AFG","ISR, LBN",,MIDDLE EAST & NORTH AFRICA,666
T17,AL-ASIFA,0,TP128,G12,0,U1049,0,0,,1959,2009,1950S,1971,1990,2009,2007,PSE,ISR,"ISR, PSE, LBN, JOR, BEL, IND, AFG","ISR, LBN",,MIDDLE EAST & NORTH AFRICA,666
T17,FATAH,0,TP128,G12,0,U1049,0,0,,1959,2009,1950S,1971,1990,2009,2007,PSE,ISR,"ISR, PSE, LBN, JOR, BEL, IND, AFG","ISR, LBN",,MIDDLE EAST & NORTH AFRICA,666
T17,FATEH,0,TP128,G12,0,U1049,0,0,,1959,2009,1950S,1971,1990,2009,2007,PSE,ISR,"ISR, PSE, LBN, JOR, BEL, IND, AFG","ISR, LBN",,MIDDLE EAST & NORTH AFRICA,666
T17,HARAKAT AL-TAHRIR AL-WATANI AL-FILASTINI,0,TP128,G12,0,U1049,0,0,,1959,2009,1950S,1971,1990,2009,2007,PSE,ISR,"ISR, PSE, LBN, JOR, BEL, IND, AFG","ISR, LBN",,MIDDLE EAST & NORTH AFRICA,666
T17,HAREKAT AT-TAHRIR AL-WATANIYYEH AL-FILASTINIYYEH,0,TP128,G12,0,U1049,0,0,,1959,2009,1950S,1971,1990,2009,2007,PSE,ISR,"ISR, PSE, LBN, JOR, BEL, IND, AFG","ISR, LBN",,MIDDLE EAST & NORTH AFRICA,666
T17,PALESTINIAN NATIONAL LIBERATION MOVEMENT,0,TP128,G12,0,U1049,0,0,,1959,2009,1950S,1971,1990,2009,2007,PSE,ISR,"ISR, PSE, LBN, JOR, BEL, IND, AFG","ISR, LBN",,MIDDLE EAST & NORTH AFRICA,666
T18,AL-FUQRA,1,TP3426,G2175,0,0,0,0,,1983,1990,2005,1983,,1990,,USA,"CAN, PAK, USA",USA,,,NORTH AMERICA,2
T18,AL FUQRA,0,TP3426,G2175,0,0,0,0,,1983,1990,2005,1983,,1990,,USA,"CAN, PAK, USA",USA,,,NORTH AMERICA,2
T18,COMMUNITY OF THE IMPOVERISHED,0,TP3426,G2175,0,0,0,0,,1983,1990,2005,1983,,1990,,USA,"CAN, PAK, USA",USA,,,NORTH AMERICA,2
T18,JAMAAT AL FUQRA,0,TP3426,G2175,0,0,0,0,,1983,1990,2005,1983,,1990,,USA,"CAN, PAK, USA",USA,,,NORTH AMERICA,2
T18,JAMAAT AL-FUQRA,0,TP3426,G2175,0,0,0,0,,1983,1990,2005,1983,,1990,,USA,"CAN, PAK, USA",USA,,,NORTH AMERICA,2
T18,JAMAAT-AL-FUQRA,0,TP3426,G2175,0,0,0,0,,1983,1990,2005,1983,,1990,,USA,"CAN, PAK, USA",USA,,,NORTH AMERICA,2
T18,MUSLIMS OF THE AMERICAS,0,TP3426,G2175,0,0,0,0,,1983,1990,2005,1983,,1990,,USA,"CAN, PAK, USA",USA,,,NORTH AMERICA,2
T18,QURANIC OPEN UNIVERSITY,0,TP3426,G2175,0,0,0,0,,1983,1990,2005,1983,,1990,,USA,"CAN, PAK, USA",USA,,,NORTH AMERICA,2
T19,AL-GAMA'AT AL-ISLAMIYYA (IG),1,TP3760,G52,0,U1184,0,0,,1977,1998,1977,1991,1993,1998,1998,EGY,"AFG, EGY","EGY, ETH, HRV",EGY,,MIDDLE EAST & NORTH AFRICA,651
T19,AL GAMA'A AL ISLAMIYYA,0,TP3760,G52,0,U1184,0,0,,1977,1998,1977,1991,1993,1998,1998,EGY,"AFG, EGY","EGY, ETH, HRV",EGY,,MIDDLE EAST & NORTH AFRICA,651
T19,AL GAMA'A AL ISLAMIYYA (GAI),0,TP3760,G52,0,U1184,0,0,,1977,1998,1977,1991,1993,1998,1998,EGY,"AFG, EGY","EGY, ETH, HRV",EGY,,MIDDLE EAST & NORTH AFRICA,651
T19,AL GAMA'A AL-ISLAMIYYA,0,TP3760,G52,0,U1184,0,0,,1977,1998,1977,1991,1993,1998,1998,EGY,"AFG, EGY","EGY, ETH, HRV",EGY,,MIDDLE EAST & NORTH AFRICA,651
T19,AL GAMA'A AL-ISLAMIYYA (GAI),0,TP3760,G52,0,U1184,0,0,,1977,1998,1977,1991,1993,1998,1998,EGY,"AFG, EGY","EGY, ETH, HRV",EGY,,MIDDLE EAST & NORTH AFRICA,651
T19,AL GAMA'AT AL ISLAMIYYA (IG),0,TP3760,G52,0,U1184,0,0,,1977,1998,1977,1991,1993,1998,1998,EGY,"AFG, EGY","EGY, ETH, HRV",EGY,,MIDDLE EAST & NORTH AFRICA,651
T19,AL GAMA'AT AL-ISLAMIYYA (IG),0,TP3760,G52,0,U1184,0,0,,1977,1998,1977,1991,1993,1998,1998,EGY,"AFG, EGY","EGY, ETH, HRV",EGY,,MIDDLE EAST & NORTH AFRICA,651
T19,AL GAMAT AL ISLAMIYA,0,TP3760,G52,0,U1184,0,0,,1977,1998,1977,1991,1993,1998,1998,EGY,"AFG, EGY","EGY, ETH, HRV",EGY,,MIDDLE EAST & NORTH AFRICA,651
T19,AL GAMAT AL-ISLAMIYA,0,TP3760,G52,0,U1184,0,0,,1977,1998,1977,1991,1993,1998,1998,EGY,"AFG, EGY","EGY, ETH, HRV",EGY,,MIDDLE EAST & NORTH AFRICA,651
T19,AL-GAMA'A AL-ISLAMIYYA,0,TP3760,G52,0,U1184,0,0,,1977,1998,1977,1991,1993,1998,1998,EGY,"AFG, EGY","EGY, ETH, HRV",EGY,,MIDDLE EAST & NORTH AFRICA,651
T19,AL-GAMA'A AL-ISLAMIYYA (GAI),0,TP3760,G52,0,U1184,0,0,,1977,1998,1977,1991,1993,1998,1998,EGY,"AFG, EGY","EGY, ETH, HRV",EGY,,MIDDLE EAST & NORTH AFRICA,651
T19,AL-GAMAT AL-ISLAMIYA,0,TP3760,G52,0,U1184,0,0,,1977,1998,1977,1991,1993,1998,1998,EGY,"AFG, EGY","EGY, ETH, HRV",EGY,,MIDDLE EAST & NORTH AFRICA,651
T19,ISLAMIC GROUP (IG),0,TP3760,G52,0,U1184,0,0,,1977,1998,1977,1991,1993,1998,1998,EGY,"AFG, EGY","EGY, ETH, HRV",EGY,,MIDDLE EAST & NORTH AFRICA,651
T19,JAMAAT AL-ISLAMIYYA,0,TP3760,G52,0,U1184,0,0,,1977,1998,1977,1991,1993,1998,1998,EGY,"AFG, EGY","EGY, ETH, HRV",EGY,,MIDDLE EAST & NORTH AFRICA,651
T20,AL HADID,1,TP3911,G520,0,0,0,0,,1994,1994,1994,1994,,1994,,IND,IND,IND,,,SOUTH ASIA,750
T20,AL-HADID,0,TP3911,G520,0,0,0,0,,1994,1994,1994,1994,,1994,,IND,IND,IND,,,SOUTH ASIA,750
T21,AL-HARAMAYN BRIGADES,1,TP4327,G2271,0,0,0,0,,2003,2004,2003,2003,,2004,,SAU,SAU,SAU,,,MIDDLE EAST & NORTH AFRICA,670
T21,SPECIAL DEATH BRIGADES,0,TP4327,G2271,0,0,0,0,,2003,2004,2003,2003,,2004,,SAU,SAU,SAU,,,MIDDLE EAST & NORTH AFRICA,670
T22,AL-INTIQAMI AL-PAKISTANI,1,TP7,G2666,0,0,0,0,,2002,2002,,2002,,2002,,PAK,PAK,PAK,,,SOUTH ASIA,770
T22,REVENGE OF JEHADI,0,TP7,G2666,0,0,0,0,,2002,2002,,2002,,2002,,PAK,PAK,PAK,,,SOUTH ASIA,770
T22,REVENGE OF THE PAKISTANIS,0,TP7,G2666,0,0,0,0,,2002,2002,,2002,,2002,,PAK,PAK,PAK,,,SOUTH ASIA,770
T22,REVENGE OF THE PEOPLE OF PAKISTAN,0,TP7,G2666,0,0,0,0,,2002,2002,,2002,,2002,,PAK,PAK,PAK,,,SOUTH ASIA,770
T23,AL-ITTIHAAD AL-ISLAMI (AIAI),1,TP4329,G761,0,U1394,0,0,,1988,2005,1980S,1992,1992,2005,1999,SOM,"ETH, KEN, SOM","SOM, ETH","ETH, SOM",,SUB-SAHARAN AFRICA,520
T23,AIAI,0,TP4329,G761,0,U1394,0,0,,1988,2005,1980S,1992,1992,2005,1999,SOM,"ETH, KEN, SOM","SOM, ETH","ETH, SOM",,SUB-SAHARAN AFRICA,520
T23,ISLAMIC UNION,0,TP4329,G761,0,U1394,0,0,,1988,2005,1980S,1992,1992,2005,1999,SOM,"ETH, KEN, SOM","SOM, ETH","ETH, SOM",,SUB-SAHARAN AFRICA,520
T23,ISLAMIC UNITY,0,TP4329,G761,0,U1394,0,0,,1988,2005,1980S,1992,1992,2005,1999,SOM,"ETH, KEN, SOM","SOM, ETH","ETH, SOM",,SUB-SAHARAN AFRICA,520
T24,AL-MADINA,1,TP3697,G2273,0,0,0,0,,2002,2008,2002,2002,,2008,,IND,"IND, PAK",IND,,,SOUTH ASIA,750
T24,AL-MADINA REGIMENT,0,TP3697,G2273,0,0,0,0,,2002,2008,2002,2002,,2008,,IND,"IND, PAK",IND,,,SOUTH ASIA,750
T24,AL-MADINAH,0,TP3697,G2273,0,0,0,0,,2002,2008,2002,2002,,2008,,IND,"IND, PAK",IND,,,SOUTH ASIA,750
T24,AL-MEDINA,0,TP3697,G2273,0,0,0,0,,2002,2008,2002,2002,,2008,,IND,"IND, PAK",IND,,,SOUTH ASIA,750
T25,AL-MANSOORIAN,1,TP3553,G2274,0,0,0,0,,2002,2007,2003,2002,,2007,,IND,"IND, PAK","IND, PAK",,,SOUTH ASIA,750
T25,AL MANSURAIN,0,TP3553,G2274,0,0,0,0,,2002,2007,2003,2002,,2007,,IND,"IND, PAK","IND, PAK",,,SOUTH ASIA,750
T25,AL-MANSOORAIN,0,TP3553,G2274,0,0,0,0,,2002,2007,2003,2002,,2007,,IND,"IND, PAK","IND, PAK",,,SOUTH ASIA,750
T26,AL-NASIREEN GROUP,1,0,G2275,0,0,0,0,,2002,2005,,2005,,2005,,IND,,IND,,,SOUTH ASIA,750
T26,AL NASIREEN,0,0,G2275,0,0,0,0,,2002,2005,,2005,,2005,,IND,,IND,,,SOUTH ASIA,750
T26,AL NASIREEN GROUP,0,0,G2275,0,0,0,0,,2002,2005,,2005,,2005,,IND,,IND,,,SOUTH ASIA,750
T26,AL-NASIREEN,0,0,G2275,0,0,0,0,,2002,2005,,2005,,2005,,IND,,IND,,,SOUTH ASIA,750
T27,AL-NAWAZ,1,TP3913,G2276,0,0,0,0,,1999,1999,1999,1999,,1999,,PAK,PAK,PAK,,,SOUTH ASIA,770
T28,AL-QA'IDA,1,TP6,G2277,0,U1630,0,0,,1989,2012,1980S,1992,2001,2011,2012,AFG,"AFG, ALB, DZA, AUS, AUT, AZE, BHR, BGD, BEL, BIH, EGY, ERI, FRA, FRY, DEU, IND, IRN, IRL, ITA, JOR, KEN, LBN, LBY, MYS, MRT, NLD, PAK, PHL, QAT, RUS, SAU, SOM, ZAF, SDN, CHE, TJK, TZA, TUN, TUR, UGA, ARE, GBR, USA, UZB, YEM","PAK, AFG, YEM, KEN, TUR, TZA, USA, FRA, TUN, SOM, PSE","USA, SAU",,SOUTH ASIA,700
T28,AL QAEDA,0,TP6,G2277,0,U1630,0,0,,1989,2012,1980S,1992,2001,2011,2012,AFG,"AFG, ALB, DZA, AUS, AUT, AZE, BHR, BGD, BEL, BIH, EGY, ERI, FRA, FRY, DEU, IND, IRN, IRL, ITA, JOR, KEN, LBN, LBY, MYS, MRT, NLD, PAK, PHL, QAT, RUS, SAU, SOM, ZAF, SDN, CHE, TJK, TZA, TUN, TUR, UGA, ARE, GBR, USA, UZB, YEM","PAK, AFG, YEM, KEN, TUR, TZA, USA, FRA, TUN, SOM, PSE","USA, SAU",,SOUTH ASIA,700
